iter	Passed	Remaining
195	6067	15508
196	6090	15459
197	6116	15415
198	6142	15371
199	6167	15325
200	6193	15283
201	6216	15234
202	6240	15186
203	6264	15138
204	6292	15102
205	6317	15057
206	6343	15014
207	6370	14977
208	6403	14950
209	6439	14932
210	6466	14895
211	6504	14880
212	6536	14853
213	6561	14810
214	6589	14771
215	6623	14749
216	6651	14712
217	6678	14674
218	6702	14628
219	6725	14582
220	6750	14539
221	6779	14504
222	6805	14465
223	6830	14424
224	6859	14389
225	6884	14347
226	6909	14305
227	6932	14260
228	6956	14216
229	6983	14179
230	7006	14134
231	7035	14101
232	7058	14056
233	7084	14018
234	7110	13979
235	7136	13939
236	7164	13904
237	7192	13871
238	7223	13842
239	7257	13818
240	7289	13792
241	7319	13762
242	7354	13740
243	7382	13705
244	7421	13691
245	7470	13695
246	7504	13671
247	7531	13634
248	7559	13601
249	7586	13564
250	7611	13523
251	7638	13488
252	7663	13448
253	7686	13406
254	7711	13367
255	7737	13328
256	7762	13290
257	7786	13248
258	7811	13210
259	7837	13172
260	7861	13133
261	7886	13094
262	7910	13054
263	7935	13016
264	7960	12977
265	7985	12938
266	8013	12905
267	8041	12872
268	8076	12850
269	8108	12823
270	8138	12793
271	8175	12773
272	8205	12744
273	8235	12714
274	8262	12679
275	8290	12645
276	8314	12606
277	8341	12571
278	8368	12538
279	8397	12506
280	8431	12482
281	8458	12448
282	8485	12412
283	8510	12376
284	8533	12336
285	8559	12299
286	8584	12263
287	8610	12227
288	8637	12194
289	8661	12155
290	8682	12114
291	8708	12078
292	8733	12041
293	8757	12004
294	8781	11967
295	8807	11931
296	8831	11894
297	8856	11857
298	8878	11818
299	8902	11781
300	8925	11742
301	8949	11705
302	8974	11670
303	8999	11634
304	9026	11600
305	9049	11563
306	9074	11527
307	9102	11495
308	9126	11459
309	9153	11427
310	9184	11399
311	9208	11362
312	9232	11326
313	9258	11293
314	9280	11254
315	9305	11219
316	9330	11184
317	9353	11147
318	9378	11112
319	9403	11078
320	9425	11040
321	9447	11002
322	9469	10964
323	9491	10926
324	9516	10893
325	9541	10859
326	9563	10821
327	9588	10787
328	9612	10751
329	9637	10718
330	9665	10688
331	9690	10653
332	9717	10622
333	9744	10590
334	9768	10555
335	9797	10526
336	9820	10490
337	9845	10456
338	9868	10422
339	9890	10384
340	9915	10352
341	9942	10319
342	9972	10292
343	10001	10262
344	10028	10231
345	10050	10195
346	10078	10165
347	10103	10132
348	10131	10102
349	10152	10065
350	10179	10034
351	10204	10001
352	10229	9968
353	10253	9935
354	10279	9902
355	10302	9868
356	10328	9836
357	10353	9804
358	10379	9772
359	10406	9741
360	10435	9712
361	10460	9679
362	10483	9645
363	10508	9613
364	10534	9582
365	10558	9549
366	10584	9517
367	10609	9484
368	10632	9451
369	10657	9418
370	10679	9384
371	10703	9351
372	10726	9317
373	10750	9284
374	10775	9252
375	10797	9218
376	10824	9187
377	10846	9153
378	10870	9120
379	10894	9088
380	10918	9055
381	10943	9023
382	10965	8989
383	10991	8959
384	11016	8927
385	11043	8897
386	11069	8867
387	11097	8838
388	11121	8805
389	11146	8774
390	11169	8741
391	11191	8708
392	11217	8677
393	11242	8646
394	11267	8614
395	11290	8581
396	11316	8551
397	11344	8522
398	11369	8491
399	11396	8462
400	11422	8431
401	11444	8398
402	11473	8369
403	11492	8335
404	11514	8301
405	11537	8269
406	11560	8237
407	11590	8209
408	11622	8183
409	11647	8153
410	11673	8123
411	11696	8090
412	11720	8059
413	11747	8030
414	11772	7999
415	11792	7965
416	11817	7935
417	11842	7904
418	11864	7872
419	11893	7843
420	11917	7812
421	11940	7781
422	11962	7749
423	11988	7718
424	12011	7687
425	12036	7656
426	12059	7625
427	12081	7593
428	12102	7560
429	12130	7531
430	12155	7501
431	12179	7471
432	12209	7444
433	12236	7415
434	12256	7382
435	12278	7350
436	12303	7320
437	12328	7290
438	12358	7263
439	12385	7234
440	12410	7204
441	12437	7175
442	12461	7145
443	12484	7114
444	12509	7084
445	12534	7054
446	12558	7023
447	12585	6995
448	12608	6964
449	12630	6932
450	12653	6901
451	12677	6871
452	12700	6840
453	12726	6812
454	12751	6781
455	12775	6751
456	12798	6721
457	12820	6690
458	12842	6659
459	12867	6629
460	12892	6600
461	12914	6569
462	12936	6538
463	12959	6507
464	12982	6477
465	13006	6447
466	13034	6419
467	13060	6390
468	13088	6362
469	13117	6335
470	13146	6308
471	13172	6279
472	13203	6252
473	13231	6225
474	13261	6197
475	13291	6170
476	13321	6144
477	13349	6115
478	13374	6086
479	13401	6058
480	13429	6030
481	13457	6002
482	13481	5973
483	13503	5942
484	13529	5913
485	13554	5884
486	13579	5855
487	13605	5826
488	13631	5798
489	13653	5768
490	13677	5738
491	13700	5708
492	13724	5679
493	13749	5650
494	13777	5622
495	13801	5592
496	13830	5565
497	13860	5538
498	13901	5515
499	13937	5491
500	13964	5463
501	13993	5435
502	14018	5406
503	14047	5379
504	14071	5350
505	14095	5320
506	14117	5290
507	14144	5262
508	14166	5232
509	14194	5204
510	14216	5174
511	14241	5145
512	14264	5116
513	14286	5086
514	14311	5057
515	14333	5028
516	14359	4999
517	14384	4970
518	14406	4940
519	14432	4912
520	14452	4882
521	14476	4853
522	14499	4823
523	14521	4794
524	14547	4766
525	14571	4737
526	14597	4708
527	14620	4679
528	14642	4650
529	14664	4620
530	14689	4592
531	14712	4563
532	14740	4535
533	14767	4507
534	14794	4479
535	14818	4451
536	14841	4421
537	14866	4393
538	14891	4365
539	14914	4336
540	14941	4308
541	14970	4281
542	14996	4253
543	15023	4225
544	15054	4198
545	15078	4170
546	15104	4141
547	15128	4113
548	15156	4085
549	15188	4059
550	15222	4033
551	15252	4006
552	15278	3978
553	15304	3950
554	15332	3922
555	15358	3894
556	15381	3865
557	15408	3838
558	15432	3809
559	15461	3782
560	15490	3755
561	15517	3727
562	15539	3698
563	15562	3669
564	15588	3641
565	15617	3614
566	15640	3585
567	15665	3557
568	15687	3529
569	15714	3501
570	15736	3472
571	15763	3444
572	15787	3416
573	15815	3388
574	15842	3361
575	15866	3333
576	15890	3304
577	15913	3276
578	15938	3248
579	15962	3220
580	15986	3191
581	16016	3164
582	16039	3136
583	16069	3109
584	16097	3081
585	16124	3054
586	16153	3027
587	16182	2999
588	16204	2971
589	16230	2943
590	16263	2916
591	16291	2889
592	16318	2861
593	16345	2834
594	16372	2806
595	16397	2778
596	16427	2751
597	16456	2724
598	16492	2698
599	16521	2670
600	16552	2644
601	16583	2616
602	16611	2589
603	16637	2561
604	16660	2533
605	16684	2505
606	16709	2477
607	16737	2450
608	16765	2422
609	16791	2394
610	16815	2366
611	16841	2339
612	16865	2311
613	16892	2283
614	16921	2256
615	16945	2228
616	16973	2200
617	16997	2172
618	17021	2144
619	17048	2117
620	17070	2089
621	17095	2061
622	17116	2033
623	17140	2005
624	17166	1977
625	17189	1949
626	17215	1921
627	17241	1894
628	17268	1866
629	17293	1839
630	17318	1811
631	17343	1783
632	17370	1756
633	17394	1728
634	17422	1701
635	17448	1673
636	17479	1646
637	17501	1618
638	17524	1590
639	17546	1562
640	17569	1534
641	17595	1507
642	17615	1479
643	17639	1451
644	17662	1423
645	17683	1396
646	17704	1368
647	17733	1340
648	17760	1313
649	17784	1285
650	17807	1258
651	17834	1230
652	17870	1204
653	17896	1176
654	17931	1149
655	17960	1122
656	17998	1095
657	18026	1068
658	18058	1041
659	18092	1014
660	18124	987
661	18159	960
662	18185	932
663	18218	905
664	18254	878
665	18283	851
666	18310	823
667	18336	796
668	18361	768
669	18384	740
670	18408	713
671	18433	685
672	18461	658
673	18486	630
674	18510	603
675	18538	575
676	18562	548
677	18588	520
678	18618	493
679	18643	466
680	18669	438
681	18697	411
682	18723	383
683	18755	356
684	18778	328
685	18800	301
686	18826	274
687	18852	246
688	18880	219
689	18912	191
690	18939	164
691	18981	137
692	19019	109
693	19050	82
694	19075	54
695	19100	27
696	19123	0
